Country;Year;Total;Coal;Oil;Gas;Cement;Flaring
Afghanistan;2021;11,87;4,20;7,42;0,24;0,01;0,00
Albania;2021;4,62;0,17;3,25;0,15;1,05;0,00
Algeria;2021;176,27;1,10;56,02;92,79;11,03;15,33
Andorra;2021;0,45;0,00;0,45;0,00;0,00;0,00
Angola;2021;21,36;0,00;13,90;2,95;1,12;3,39
Anguilla;2021;0,14;0,00;0,14;0,00;0,00;0,00
Antigua and Barbuda;2021;0,47;0,00;0,47;0,00;0,00;0,00
Argentina;2021;186,45;4,82;80,31;94,33;4,67;2,32
Armenia;2021;6,81;0,01;0,99;5,46;0,34;0,00
Aruba;2021;0,86;0,00;0,86;0,00;0,00;0,00
Australia;2021;391,19;150,96;139,16;77,24;2,82;17,27
Austria;2021;64,63;12,27;31,46;17,84;1,82;0,11
Azerbaijan;2021;38,49;0,00;11,11;26,03;1,10;0,25
Bahamas;2021;2,39;0,01;2,38;0,00;0,00;0,00
Bahrain;2021;39,02;0,00;3,55;34,60;0,61;0,26
Bangladesh;2021;93,18;14,85;18,06;58,74;1,47;0,05
Barbados;2021;1,13;0,00;0,98;0,06;0,07;0,02
Belarus;2021;59,60;3,28;16,99;36,05;2,30;0,01
Belgium;2021;95,72;11,02;44,57;35,78;2,63;0,10
Belize;2021;0,69;0,00;0,68;0,00;0,00;0,00
Benin;2021;7,76;0,28;6,96;0,12;0,39;0,00
Bermuda;2021;0,55;0,00;0,55;0,00;0,00;0,00
Bhutan;2021;1,52;0,45;0,62;0,00;0,45;0,00
Bonaire;2021;2021,00;0,10;0,00;0,10;0,00;3,87
Bosnia and Herzegovina;2021;13,57;8,29;4,42;0,49;0,37;0,00
Botswana;2021;6,50;3,65;2,85;0,00;0,00;0,00
Brazil;2021;488,88;68,23;296,99;75,97;23,79;17,51
British Virgin Islands;2021;0,16;0,00;0,16;0,00;0,00;0,00
Brunei Darussalam;2021;10,48;0,39;3,88;5,81;0,00;0,41
Bulgaria;2021;42,56;20,85;12,78;6,06;1,07;0,68
Burkina Faso;2021;5,70;0,00;4,85;0,00;0,85;0,00
Burundi;2021;0,69;0,05;0,61;0,00;0,03;0,00
Cambodia;2021;19,03;4,70;8,98;0,00;5,33;0,02
Canada;2021;545,63;43,86;241,66;235,38;6,62;16,06
